https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume IOTA,Volume USDT,tradecount
1695859200000,2023-09-28,IOTAUSDT,0.1498,0.154,0.1491,0.1527,7913792.0,1200797.3086,7598
1695772800000,2023-09-27,IOTAUSDT,0.1492,0.151,0.1473,0.1497,6017747.0,896249.6124,5616
1695686400000,2023-09-26,IOTAUSDT,0.1505,0.151,0.1474,0.1494,5023513.0,750054.2537,4970
1695600000000,2023-09-25,IOTAUSDT,0.1486,0.1513,0.1474,0.1505,5282915.0,789174.9801,5327
1695513600000,2023-09-24,IOTAUSDT,0.1514,0.1517,0.1485,0.1487,4659391.0,699676.8765,3762
1695427200000,2023-09-23,IOTAUSDT,0.1482,0.1515,0.1473,0.1514,5583597.0,832343.7484,5111
1695340800000,2023-09-22,IOTAUSDT,0.1474,0.149,0.1461,0.1483,5419567.0,801226.4497,4941
1695254400000,2023-09-21,IOTAUSDT,0.1486,0.1502,0.1454,0.1475,10286212.0,1516913.1098,7187
1695168000000,2023-09-20,IOTAUSDT,0.1491,0.1506,0.1451,0.1487,9561141.0,1416842.9477,7950
1695081600000,2023-09-19,IOTAUSDT,0.1483,0.1505,0.147,0.1489,10207667.0,1520104.4793,7654
1694995200000,2023-09-18,IOTAUSDT,0.1489,0.152,0.1463,0.1482,29857761.0,4436463.0745,19204
1694908800000,2023-09-17,IOTAUSDT,0.1571,0.1599,0.1472,0.1488,27477873.0,4187693.6403,18253
1694822400000,2023-09-16,IOTAUSDT,0.161,0.1617,0.1559,0.1572,21004561.0,3324646.6951,17933
1694736000000,2023-09-15,IOTAUSDT,0.1671,0.1684,0.1564,0.161,29178617.0,4679441.5049,24073
1694649600000,2023-09-14,IOTAUSDT,0.1685,0.1703,0.1645,0.167,8855312.0,1480864.466,9202
1694563200000,2023-09-13,IOTAUSDT,0.1602,0.1747,0.1554,0.1685,12466356.0,2050011.046,15910
1694476800000,2023-09-12,IOTAUSDT,0.1626,0.1665,0.1596,0.1602,5624868.0,914965.7568,8996
1694390400000,2023-09-11,IOTAUSDT,0.1713,0.1723,0.1601,0.1625,14298643.0,2345842.3344,18077
1694304000000,2023-09-10,IOTAUSDT,0.1747,0.1747,0.166,0.1715,7301241.0,1252570.5902,10065
1694217600000,2023-09-09,IOTAUSDT,0.1783,0.1816,0.1745,0.1746,8550829.0,1528038.2829,7892
1694131200000,2023-09-08,IOTAUSDT,0.1814,0.1825,0.1736,0.1783,8082122.0,1433799.6179,9510
1694044800000,2023-09-07,IOTAUSDT,0.1729,0.1872,0.1718,0.1814,14746306.0,2620941.6307,18067
1693958400000,2023-09-06,IOTAUSDT,0.1699,0.174,0.1673,0.1728,8844942.0,1507883.4687,10207
1693872000000,2023-09-05,IOTAUSDT,0.1718,0.173,0.165,0.1699,6847472.0,1154938.3558,9007
1693785600000,2023-09-04,IOTAUSDT,0.1677,0.1749,0.1677,0.1718,8264624.0,1412332.0757,11151
1693699200000,2023-09-03,IOTAUSDT,0.1672,0.1706,0.1635,0.1676,10085998.0,1678214.413,11531
1693612800000,2023-09-02,IOTAUSDT,0.1665,0.1707,0.1598,0.1672,14635484.0,2405903.3886,18190
1693526400000,2023-09-01,IOTAUSDT,0.1562,0.1678,0.1537,0.1666,17294693.0,2806007.6306,25830
1693440000000,2023-08-31,IOTAUSDT,0.1547,0.1671,0.1543,0.1562,20095961.0,3224800.4424,28133
1693353600000,2023-08-30,IOTAUSDT,0.1563,0.1575,0.1526,0.1547,6749069.0,1049484.7583,7260
1693267200000,2023-08-29,IOTAUSDT,0.1492,0.1602,0.1468,0.1563,20108334.0,3104656.8944,22516
1693180800000,2023-08-28,IOTAUSDT,0.1502,0.1503,0.1434,0.1492,5447282.0,799815.1758,8091
1693094400000,2023-08-27,IOTAUSDT,0.1484,0.1558,0.1478,0.1501,15882157.0,2400335.2157,20043
1693008000000,2023-08-26,IOTAUSDT,0.1465,0.1535,0.1457,0.1484,9166136.0,1372550.542,11630
1692921600000,2023-08-25,IOTAUSDT,0.1456,0.1491,0.1434,0.1464,3407407.0,494839.4268,3749
